## Bernard+19 with γ_simple_eq = √(X/Z) − 1/√(X/Z).
## Used in case 7 (damped) calibration as one of 4 dataset inputs.
## Generated from raw_Bernard_etal_2019_G3.csv.
gamma_simple_eq,M,J,xz
1.047,0.18,3.87,2.73
0.7124,0.13,3.24,2.01
1.166,0.11,3,3.03
0.549,0.17,4.61,1.72
1.116,0.12,2.72,2.9
0.9575,0.23,5.54,2.52
0.7942,0.05,2.14,2.17
0.7229,0.04,1.7,2.03
0.4484,0.12,2.72,1.56
0.9128,0.14,2.64,2.42
0.7743,0.08,2.23,2.13
0.9923,0.22,5.07,2.6
0.8237,0.23,5.52,2.23
0.8572,0.2,4.32,2.3
1.185,0.01,1.19,3.08
0.8619,0.04,1.45,2.31
0.549,0.05,1.55,1.72
1.178,0.01,1.55,3.06
1.162,0.06,2.54,3.02
1.357,0.13,3.46,3.56
1.174,0.05,2.46,3.05
1.273,0.08,2.31,3.32
1.316,0.04,3.55,3.44
1.277,0.03,2.19,3.33
1.014,0.09,2.07,2.65
0.9442,0.11,2.42,2.49
1.721,0.08,2.95,4.75
0.6249,0.03,1.45,1.85
0.7177,0.03,1.35,2.02
0.9264,0.1,3.44,2.45
1.41,0.08,2.86,3.72
1.022,0.11,3.09,2.67
1.38,0.29,8.81,3.63
1.196,0.12,3.07,3.11
1.014,0.07,1.93,2.65
