## Combined damped olivine dataset for case 7 calibration (93 pts).
## Tasaka16 wet Fo50 + Boneh14 pre-CPO + Kumamoto19 Josephine + Bernard19 natural xenoliths.
## γ_simple is either as-reported (Tasaka, Kumamoto) or converted from ε_axial (Boneh) / X-Z (Bernard).
## M for Tasaka16/Boneh14/Kumamoto19 is as-reported (lab or no-J).
## M for Bernard19 is re-derived from J via j_to_m_natural() = max((J−1)/24, 0),
## per the Bernard+19 natural-sample regression, R²=0.825) — supersedes Bernard's
## as-reported M which inherits Skemer's lab (J−1)/15 bias on natural samples.
gamma_simple,M,source
0,0.01,Tasaka16:PT-916
0,0.01,Tasaka16:PT-933
0.6,0.01,Tasaka16:PT-938
1.3,0.03,Tasaka16:PT-952
1.8,0.05,Tasaka16:PT-892
2.4,0.24,Tasaka16:PT-954
2.7,0.23,Tasaka16:PT-973
2.7,0.3,Tasaka16:PT-930
3,0.22,Tasaka16:PT-939
3.4,0.13,Tasaka16:PT-889
3.7,0.14,Tasaka16:PT-976
5,0.13,Tasaka16:PT-966
0,0.13,Boneh14:undef
0.2174,0.1,Boneh14:WUG-116
0.3295,0.09,Boneh14:WUG-114
0.4088,0.08,Boneh14:WUG-125
0.5124,0.12,Boneh14:WUG-122
0.6647,0.11,Boneh14:WUG-126
0.1873,0.09,Boneh14:WUG-130
0.4129,0.08,Boneh14:WUG-128
0.4867,0.14,Boneh14:WUG-129
0.6985,0.15,Boneh14:WUG-143
0.7325,0.15,Boneh14:WUG-127
0.2074,0.06,Boneh14:WUG-138
0.3619,0.06,Boneh14:WUG-133
0.3721,0.06,Boneh14:WUG-146
0.418,0.05,Boneh14:WUG-134
0.6195,0.06,Boneh14:WUG-147
0,0.14,Kumamoto19:JP10-M15
0.07,0.08,Kumamoto19:JP10-M14
0.31,0.11,Kumamoto19:JP10-M13
0.84,0.11,Kumamoto19:JP10-M12
1.36,0.03,Kumamoto19:JP10-M11
2.99,0.1,Kumamoto19:JP10-M10
8.88,0.11,Kumamoto19:JP10-M09
11.4,0.14,Kumamoto19:JP10-M06
20,0.11,Kumamoto19:JP10-M08
20,0.05,Kumamoto19:JP10-M08-KK
0,0.08,Kumamoto19:JP08-PS01
20,0.26,Kumamoto19:3925-G02
20,0.13,Kumamoto19:3925-G02-f
0,0.08,Kumamoto19:3923-J01
0.32,0.06,Kumamoto19:3923-J06
0.32,0.17,Kumamoto19:3923-J07
0.65,0.06,Kumamoto19:3923-J11
0.81,0.09,Kumamoto19:3923-J08
0.81,0.14,Kumamoto19:3923-J09
1.18,0.11,Kumamoto19:3923-J13
1.37,0.07,Kumamoto19:3923-J14
1.68,0.1,Kumamoto19:3924-J10
2.58,0.23,Kumamoto19:3924-J05
2.58,0.16,Kumamoto19:3924-J06
3.37,0.15,Kumamoto19:3924-J03a
3.37,0.34,Kumamoto19:3924-J03b
3.86,0.11,Kumamoto19:3924-J09a
3.86,0.13,Kumamoto19:3924-J09b
5.25,0.27,Kumamoto19:3924-J07
5.25,0.16,Kumamoto19:3924-J08
1.047,0.1196,Bernard19
0.7124,0.09333,Bernard19
1.166,0.08333,Bernard19
0.549,0.1504,Bernard19
1.116,0.07167,Bernard19
0.9575,0.1892,Bernard19
0.7942,0.0475,Bernard19
0.7229,0.02917,Bernard19
0.4484,0.07167,Bernard19
0.9128,0.06833,Bernard19
0.7743,0.05125,Bernard19
0.9923,0.1696,Bernard19
0.8237,0.1883,Bernard19
0.8572,0.1383,Bernard19
1.185,0.007917,Bernard19
0.8619,0.01875,Bernard19
0.549,0.02292,Bernard19
1.178,0.02292,Bernard19
1.162,0.06417,Bernard19
1.357,0.1025,Bernard19
1.174,0.06083,Bernard19
1.273,0.05458,Bernard19
1.316,0.1062,Bernard19
1.277,0.04958,Bernard19
1.014,0.04458,Bernard19
0.9442,0.05917,Bernard19
1.721,0.08125,Bernard19
0.6249,0.01875,Bernard19
0.7177,0.01458,Bernard19
0.9264,0.1017,Bernard19
1.41,0.0775,Bernard19
1.022,0.08708,Bernard19
1.38,0.3254,Bernard19
1.196,0.08625,Bernard19
1.014,0.03875,Bernard19
