## Blackford+24 with γ_simple_eq from γ_oct via plane-strain inversion.
## Skemer+05 J→M conversion applied to pfJ (note: pfJ < ODF J, so M values
## are ~5× smaller than Pennacchioni+10's; the case-6 slope=11 compensates).
## Used for case 6 (anisoDelta_Quartz_Blackford) calibration.
gamma_simple_eq,gamma_oct,pfJ,M_skemer_pfJ,strain_domain,sample
1.276,0.85,2.27,0.08467,1,2_FourmileCanyon
1.482,0.97,1.86,0.05733,1,4
1.736,1.11,1.79,0.05267,1,6
2.276,1.38,2.25,0.08333,1,8
1.947,1.22,1.31,0.02067,1,9_SaltCreek
2.255,1.37,1.27,0.018,1,JL1-116
2.007,1.25,1.34,0.02267,1,JL1-115
2.088,1.29,1.56,0.03733,1,10
2.298,1.39,1.5,0.03333,1,11
2.925,1.66,1.71,0.04733,2,JL1-157
2.611,1.53,1.26,0.01733,2,12
2.682,1.56,1.33,0.022,2,13
2.851,1.63,1.29,0.01933,2,14
3.291,1.8,1.86,0.05733,2,16
2.975,1.68,1.74,0.04933,2,17
3.572,1.9,1.8,0.05333,2,18
2.95,1.67,1.32,0.02133,2,19
2.588,1.52,2.04,0.06933,2,20
2.777,1.6,1.65,0.04333,2,JL1-149
2.542,1.5,1.69,0.046,2,JL1-150
2.975,1.68,1.81,0.054,2,JL1-148
2.363,1.42,2.33,0.08867,2,JL1-151
2.682,1.56,1.56,0.03733,2,JL1-152
3.264,1.79,2.09,0.07267,2,21
3.995,2.04,2.29,0.086,3,22
3.001,1.69,1.95,0.06333,3,23
2.341,1.41,2.91,0.1273,3,29_HendrysCreek
2.588,1.52,2.93,0.1287,3,30
3.748,1.96,4.85,0.2567,3,JL1-202
4.027,2.05,3.38,0.1587,3,JL1-204
4.188,2.1,2.66,0.1107,3,JL1-205
4.562,2.21,3.01,0.134,4,33
3.457,1.86,3.58,0.172,4,38
5.002,2.33,2.8,0.12,4,42
3.401,1.84,1.65,0.04333,4,46
4.778,2.27,2.35,0.09,4,49
2.802,1.61,2.77,0.118,4,50
5.078,2.35,2.32,0.088,5,51
